Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters)
East,Clay,Barley,232.39255564978032,19.699715034564587,Cloudy,121,1.844813369978184,299.265,4.095,0.75,41989.11
North,Clay,Rice,111.42556947480811,37.2476431183175,Sunny,60,1.343359335369779,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
East,Sandy,Maize,234.3199032983383,22.92048124163264,Rainy,106,1.5955969968831796,460.93,1.09,1.31,54314.28
South,Sandy,Rice,141.17722457806002,29.14839029675444,Cloudy,72,2.2183558209185748,308.40500000000003,4.595,4.220000000000001,78580.925
West,Sandy,Rice,174.19085189888585,19.55330695967762,Cloudy,118,1.2516611570420475,308.40500000000003,4.595,4.220000000000001,78580.925
East,Silt,Wheat,153.0575719350485,39.56729172439307,Cloudy,114,1.91443363840605,288.52,1.79,4.78,23208.04
East,Clay,Rice,311.2742996421493,36.25015368925905,Rainy,63,2.167908523545265,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
North,Loam,Maize,404.4884745702476,35.56527390982622,Sunny,99,1.92784205085269,128.23,4.91,0.77,18660.03
West,Loam,Barley,222.0770196968384,23.495679513373904,Sunny,116,0.6397858982081263,446.76,7.79,0.96,93656.06
East,Loam,Soybean,193.8472917450985,17.460336202787516,Cloudy,97,2.0140614000095707,156.1,1.18,4.43,73646.55
West,Peaty,Maize,122.9083449292042,27.859857120642804,Cloudy,101,1.7335040952349292,389.37,0.57,4.93,60202.14
North,Silt,Wheat,174.34641305691233,21.05733462883401,Cloudy,118,1.692209384376807,288.52,1.79,4.78,23208.04
East,Silt,Rice,368.9840254242361,17.035288124354242,Cloudy,81,1.9986033899752171,464.6,5.18,0.91,9392.38
North,Loam,Cotton,176.62097397109892,38.91270243052071,Cloudy,122,2.346746695331698,387.78,6.245,2.84,57761.24
East,Clay,Cotton,265.7463174703653,25.70845563200063,Rainy,110,1.8282553335806264,324.21,5.47,2.86,49551.67333333334
West,Sandy,Cotton,117.36732231709948,25.39593676733631,Rainy,137,1.9574620450316216,122.805,2.1,2.18,53381.215
East,Loam,Maize,320.354250032944,26.1984632522935,Sunny,100,1.801961443739024,128.23,4.91,0.77,18660.03
South,Sandy,Soybean,287.3142218844114,22.76313449835256,Cloudy,75,2.148735866791072,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
West,Clay,Rice,231.8851844201272,35.170853597387435,Rainy,107,1.5732418521630578,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
South,Sandy,Cotton,180.31659800902088,21.912556297533165,Rainy,100,1.0157061124253122,122.805,2.1,2.18,53381.215
East,Sandy,Rice,443.9536428354392,21.11317488435964,Cloudy,116,2.150677440653011,308.40500000000003,4.595,4.220000000000001,78580.925
West,Silt,Rice,207.04108308384104,31.28315445311976,Cloudy,117,1.1976174628150686,464.6,5.18,0.91,9392.38
West,Loam,Barley,230.3377129941038,32.1907878456596,Sunny,89,1.9532530981111624,446.76,7.79,0.96,93656.06
North,Silt,Rice,314.7936263008441,21.342008337885677,Cloudy,78,1.6645045390419186,464.6,5.18,0.91,9392.38
North,Sandy,Soybean,143.42380609383935,18.76221387002845,Cloudy,131,2.124872215927512,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
North,Silt,Soybean,296.0486293825585,30.455324740359917,Cloudy,60,2.385614645962946,266.03,8.57,1.35,43610.21
North,Loam,Barley,260.1550092941257,27.270916191790175,Cloudy,80,1.6095728029203216,446.76,7.79,0.96,93656.06
South,Sandy,Maize,334.1813012545026,26.17767123213952,Sunny,72,1.2226243806055423,460.93,1.09,1.31,54314.28
South,Sandy,Soybean,123.61815578625992,24.544390917790714,Sunny,90,0.3617930530432143,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
South,Silt,Barley,164.19060017798256,17.006201869037913,Cloudy,146,2.366330390061468,253.43,6.2,3.375,39956.880000000005
West,Peaty,Maize,173.8666343189226,30.96504202915209,Cloudy,121,2.1899803074689306,389.37,0.57,4.93,60202.14
East,Sandy,Barley,121.45443298816608,18.84152021717448,Sunny,94,1.82269046396638,59.535,2.9,1.835,58807.185
East,Loam,Maize,486.31955278966,27.777681821985084,Rainy,103,2.090054776220654,128.23,4.91,0.77,18660.03
South,Loam,Wheat,335.0563433104958,15.352682997697356,Sunny,102,2.265910535491213,162.28,5.85,2.42,65838.4
South,Silt,Wheat,176.06062082216727,22.604352533349683,Sunny,118,1.5727157913857812,288.52,1.79,4.78,23208.04
North,Clay,Barley,263.3874041244128,38.16138026738413,Rainy,113,2.06699307489699,299.265,4.095,0.75,41989.11
North,Silt,Soybean,107.81368613446476,39.80927178917961,Cloudy,69,2.231387731443694,266.03,8.57,1.35,43610.21
East,Sandy,Rice,158.29668435991107,25.97270459286137,Rainy,132,0.4211002252692434,308.40500000000003,4.595,4.220000000000001,78580.925
North,Silt,Rice,258.84289176614925,30.15531417665631,Cloudy,131,1.2417664707860263,464.6,5.18,0.91,9392.38
North,Loam,Maize,278.923722744169,15.600813767135156,Sunny,142,1.0489545555533408,128.23,4.91,0.77,18660.03
North,Sandy,Barley,325.3187691136544,19.04677183668917,Sunny,146,1.7332140665252098,59.535,2.9,1.835,58807.185
North,Silt,Wheat,124.18561067499914,16.003619358586178,Rainy,102,2.0104831699492287,288.52,1.79,4.78,23208.04
South,Clay,Barley,428.7115280238698,19.919332349701776,Cloudy,85,2.301196417669924,299.265,4.095,0.75,41989.11
East,Clay,Rice,204.35585142549465,16.62825886468197,Sunny,65,1.927953091491724,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
West,Sandy,Barley,293.98126726214184,26.438044763134524,Rainy,72,0.9272716787679192,59.535,2.9,1.835,58807.185
West,Silt,Rice,173.36167913083756,16.660116708574687,Sunny,69,2.1529467162843767,464.6,5.18,0.91,9392.38
North,Silt,Barley,133.2925950961917,15.219884209836966,Sunny,102,1.0198264776557773,253.43,6.2,3.375,39956.880000000005
East,Clay,Rice,267.319199287251,35.63079758605174,Sunny,66,1.7626702072467502,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
South,Silt,Rice,166.99247079524054,23.06005812312634,Sunny,95,1.3671114558684798,464.6,5.18,0.91,9392.38
South,Loam,Maize,472.8801882624401,24.24747923811977,Sunny,144,2.1220674388845797,128.23,4.91,0.77,18660.03
North,Sandy,Soybean,226.69552246079,33.674779676512344,Sunny,68,1.7553554239804785,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
South,Peaty,Maize,246.6709318713133,21.754055501994337,Cloudy,100,1.887976186747584,389.37,0.57,4.93,60202.14
West,Loam,Barley,156.7507818280227,17.66523442581615,Rainy,60,2.042407253307473,446.76,7.79,0.96,93656.06
South,Sandy,Barley,103.87328390448153,33.506383687759595,Rainy,78,1.8763411814697248,59.535,2.9,1.835,58807.185
West,Loam,Cotton,332.07867381601113,16.456358343200097,Sunny,117,1.931242296129705,387.78,6.245,2.84,57761.24
East,Silt,Rice,343.48269105037923,15.912239890298329,Rainy,98,1.8038990395130088,464.6,5.18,0.91,9392.38
South,Silt,Soybean,341.23449435440824,20.6146769074132,Sunny,104,1.920229947173694,266.03,8.57,1.35,43610.21
North,Sandy,Maize,277.4469008579169,31.809267640933147,Sunny,94,1.770817566920253,460.93,1.09,1.31,54314.28
West,Loam,Barley,251.55414432293665,15.770383124479752,Cloudy,88,1.7958666579839206,446.76,7.79,0.96,93656.06
North,Silt,Rice,152.3876628830798,27.621980513990717,Cloudy,71,2.0699164211976635,464.6,5.18,0.91,9392.38
East,Loam,Barley,193.7710231341426,29.030896883849536,Sunny,104,1.8281658298607573,446.76,7.79,0.96,93656.06
East,Sandy,Rice,432.378190013316,16.34555905337706,Rainy,97,2.064024186992883,308.40500000000003,4.595,4.220000000000001,78580.925
North,Silt,Rice,113.8962903014441,22.793706803861333,Cloudy,98,2.19133897910103,464.6,5.18,0.91,9392.38
North,Sandy,Cotton,384.088713208956,27.749119274031045,Rainy,99,2.3352240960324817,122.805,2.1,2.18,53381.215
South,Loam,Maize,131.74189362734353,33.22274959987714,Rainy,75,1.4620579544589107,128.23,4.91,0.77,18660.03
East,Loam,Maize,251.0823214082012,28.705038927748724,Rainy,129,1.699324306746553,128.23,4.91,0.77,18660.03
West,Clay,Wheat,200.28144670414696,22.873465922371867,Rainy,84,1.0408632152030894,210.88500000000002,6.105,2.235,44398.345
South,Silt,Soybean,107.40705786020828,37.00281787711306,Cloudy,88,1.659359051823322,266.03,8.57,1.35,43610.21
West,Silt,Wheat,174.64020046704212,25.95047914164158,Sunny,148,2.308703915674577,288.52,1.79,4.78,23208.04
North,Silt,Barley,234.289306209393,20.145711189133188,Cloudy,106,2.089742353356496,253.43,6.2,3.375,39956.880000000005
East,Silt,Rice,101.12499922410922,38.342481148102095,Cloudy,72,2.061982179424208,464.6,5.18,0.91,9392.38
North,Silt,Wheat,145.37500788930862,32.84318458533095,Sunny,128,1.4315357631911785,288.52,1.79,4.78,23208.04
North,Silt,Soybean,293.00649678897787,15.064066069480736,Sunny,87,2.053053437472993,266.03,8.57,1.35,43610.21
West,Clay,Cotton,267.3672096736487,18.93882029748833,Cloudy,103,2.0046629803796105,324.21,5.47,2.86,49551.67333333334
East,Clay,Rice,121.3682359999244,22.323634447156717,Rainy,77,1.909879849866913,381.91499999999996,7.164999999999999,1.7650000000000001,33626.41
East,Sandy,Cotton,229.7493721678607,33.46177854522489,Sunny,94,2.067026423459997,122.805,2.1,2.18,53381.215
East,Loam,Soybean,165.9032302801929,37.80402674335879,Sunny,131,1.9471870868040064,156.1,1.18,4.43,73646.55
North,Silt,Wheat,182.29793935034087,20.507371205515,Sunny,102,1.1270506603195254,288.52,1.79,4.78,23208.04
West,Clay,Cotton,167.7506341860443,18.9098205659262,Rainy,67,2.0323970957312123,324.21,5.47,2.86,49551.67333333334
West,Clay,Wheat,198.79136411427132,17.098131467418675,Rainy,66,1.8278801551708213,210.88500000000002,6.105,2.235,44398.345
North,Silt,Barley,201.66968631698523,17.775654166736597,Rainy,87,1.6901523379777108,253.43,6.2,3.375,39956.880000000005
South,Silt,Rice,370.3650743092813,19.166408985975607,Cloudy,133,2.264192943775073,464.6,5.18,0.91,9392.38
West,Clay,Barley,111.64531920141864,15.266527565176965,Sunny,92,2.225919924102989,299.265,4.095,0.75,41989.11
South,Clay,Wheat,329.87096693902987,39.342881602999455,Rainy,85,1.9043468445722067,210.88500000000002,6.105,2.235,44398.345
North,Silt,Rice,245.08382064005733,19.1223397050632,Rainy,64,1.2644051785059918,464.6,5.18,0.91,9392.38
West,Loam,Wheat,212.89004939390597,38.05422004317589,Cloudy,121,1.0277615236039976,162.28,5.85,2.42,65838.4
West,Sandy,Rice,220.7671581143465,24.47054094598784,Sunny,130,2.368355203496783,308.40500000000003,4.595,4.220000000000001,78580.925
West,Clay,Cotton,346.5487555581682,18.79019372700245,Rainy,103,2.188864456932977,324.21,5.47,2.86,49551.67333333334
South,Clay,Barley,243.3287058891856,16.023889187970283,Rainy,148,0.8035246491944571,299.265,4.095,0.75,41989.11
South,Sandy,Barley,190.48576672651825,35.26192380618549,Cloudy,72,2.040723137141764,59.535,2.9,1.835,58807.185
South,Loam,Barley,178.98529150046963,35.431009355070856,Sunny,65,1.739848117520474,446.76,7.79,0.96,93656.06
East,Loam,Cotton,308.575905737987,19.96304036028414,Rainy,106,1.5867610469614477,387.78,6.245,2.84,57761.24
East,Loam,Wheat,442.0687148306205,29.72964630509523,Rainy,77,2.173226394426424,162.28,5.85,2.42,65838.4
East,Sandy,Rice,186.49339959962697,26.474787389550876,Sunny,75,0.819759763101177,308.40500000000003,4.595,4.220000000000001,78580.925
West,Silt,Barley,287.56289980502663,30.87466484225472,Rainy,143,1.4705335165598137,253.43,6.2,3.375,39956.880000000005
East,Loam,Soybean,253.61271690858624,17.99420221151803,Cloudy,115,2.1142847023076263,156.1,1.18,4.43,73646.55
North,Sandy,Cotton,108.31834545257928,31.09698477533565,Sunny,77,1.6996549081873336,122.805,2.1,2.18,53381.215
East,Peaty,Maize,137.6228965788569,23.271246453161808,Rainy,90,2.279384161909519,389.37,0.57,4.93,60202.14
North,Loam,Cotton,184.91997492056825,24.285070506028124,Cloudy,138,1.9072158405674735,387.78,6.245,2.84,57761.24
East,Loam,Cotton,173.12456842753667,28.27307236425124,Rainy,91,1.4409488342136432,387.78,6.245,2.84,57761.24
East,Clay,Barley,107.13882505059334,31.741656765952776,Rainy,68,1.613703072250383,299.265,4.095,0.75,41989.11
West,Sandy,Maize,447.05252180215103,30.02504638478912,Sunny,92,1.785117006485162,460.93,1.09,1.31,54314.28
North,Silt,Soybean,165.85914381983036,26.96891051611547,Rainy,88,1.4360969748801171,266.03,8.57,1.35,43610.21
North,Sandy,Cotton,349.20521994473484,38.05111067654882,Cloudy,137,2.357799458743429,122.805,2.1,2.18,53381.215
North,Sandy,Rice,152.46266302417894,25.563503523866157,Rainy,142,0.9730713265202148,308.40500000000003,4.595,4.220000000000001,78580.925
South,Sandy,Rice,184.793139661262,30.9264006380996,Sunny,123,1.1656851508101491,308.40500000000003,4.595,4.220000000000001,78580.925
South,Sandy,Soybean,365.0977780493052,23.664338389164147,Cloudy,134,1.444912718200039,209.51666666666665,2.8833333333333333,2.5233333333333334,57373.37333333333
North,Clay,Wheat,103.4085822120668,20.171428157247625,Sunny,99,1.872694836442422,210.88500000000002,6.105,2.235,44398.345
West,Clay,Wheat,163.22777657661885,18.57067550068804,Sunny,112,0.5206292248726893,210.88500000000002,6.105,2.235,44398.345
South,Loam,Wheat,365.53521013238674,33.87915676560286,Sunny,67,2.3891129227058734,162.28,5.85,2.42,65838.4
West,Loam,Soybean,114.48432912370666,18.37322700431831,Cloudy,123,0.5972755520057458,156.1,1.18,4.43,73646.55
West,Clay,Cotton,198.14901838746465,32.76522507771301,Cloudy,82,-0.1289643350394111,324.21,5.47,2.86,49551.67333333334
West,Peaty,Maize,115.6942340408418,15.183349073986223,Rainy,68,1.8447644200920912,389.37,0.57,4.93,60202.14
East,Sandy,Barley,369.3009231332646,19.14997891541342,Cloudy,148,2.171044036549649,59.535,2.9,1.835,58807.185
